Name;CategN
Abies alba;E
Abies amabilis;C2
Abies balsamea;C3
Abies cephalonica;C2
Abies concolor;C3
Abies grandis;C3
Abies koreana;C2
Abies lasiocarpa;C3
Abies magnifica;C2
Abies mariesii;C2
Abies nordmanniana;C3
Abies procera;C3
Abies sachalinensis;C2
Abies sibirica;C2
Abies veitchii;C2
Abutilon theophrasti;C0
Acalypha brachystachya;C0
Acanthoxanthium spinosum;C0
Acartia tonsa;E
Acer barbinerve;C1
Acer campestre;C3
Acer ginnala;C3
Acer japonicum;C1
Acer monspessulanum;C1
Acer negundo;C2
Acer palmatum;C1
Acer pictum;C1
Acer pseudoplatanus;E
Acer pseudosieboldianum;C2
Acer saccharinum;C2
Acer saccharum;B2
Acer sieboldianum;C1
Acer tataricum;C2
Acer tegmentosum;C2
Acheta domestica;C0
Achillea filipendulina;C1
Achillea millefolium;NA
Achillea nobilis;D2
Achillea ptarmica;NA
Achillea tomentosa;C0
Acinos alpinus;C1
Aconitum × cammarum;C3
Aconitum lasiostomum;C1
Aconitum napellus;D2
Aconogonon alpinum;C3
Aconogonon divaricatum;C3
Aconogonon × fennicum;D2
Aconogonon sibiricum;C1
Aconogonon weyrichii;C3
Acorus calamus;E
Acrotona parens;E
Acrotona pseudotenera;E
Acrotrichis cognata;E
Acrotrichis henrici;E
Acrotrichis insularis;E
Actaea rubra;C1
Actinidia arguta;C1
Actinidia deliciosa;C0
Actinidia kolomikta;C1
Adenophora gmelinii;C1
Adistemia watsoni;C1
Adlumia fungosa;C0
Adonis annua;C0
Aegilops cylindrica;C0
Aesculus hippocastanum;D2
Aethusa cynapium segetalis;C0
Agaricus bisporus;C3
Agaricus bitorquis;D2
Agaricus subperonatus;D2
Agaricus xanthodermus;D2
Agastache rugosa;C1
Agastache urticifolia;C2
Ageratum houstonianum;C0
Aglaothamnion halliae;D2
Agrocybe cylindracea;C1
Agropsar sturninus;C1
Agropyron cristatum;C2
Agrostemma brachyloba;C0
Agrostemma githago;NA
Agrostis capillaris;NA
Agrostis scabra;C0
Ahasverus advena;B1
Aix galericulata;C2
Aix sponsa;C1
Ajuga genevensis;C3
Alcea pallida;C0
Alcea rosea;C2
Alcea setosa;C0
Alchemilla heptagona;C3
Alchemilla mollis;D2
Alchemilla sarmatica;C3
Alchemilla semilunaris;C3
Alchemilla speciosa;C1
Alchemilla subcrenata;NA
Alchemilla wichurae;NA
Alectoris chukar;C1
Alectoris rufa;C2
Allium angulosum;C3
Allium caeruleum;C2
Allium carinatum;C3
Allium cepa;NA
Allium × hollandicum;C3
Allium rotundum;C3
Allium sativum;C0
Allium scorodoprasum;E
Allium siculum;C2
Allium victorialis;D2
Alnus alnobetula;D2
Alopecurus geniculatus;NA
Alopecurus myosuroides;C2
Alopecurus pratensis pratensis;E
Alopochen aegyptiaca;C1
Alphitobius diaperinus;C0
Alphitophagus bifasciatus;E
Althaea officinalis;C2
Alyssum alyssoides;E
Alyssum desertorum;C0
Alyssum hirsutum;C0
Amandava amandava;C1
Amaranthus albus;C2
Amaranthus blitoides;C0
Amaranthus blitum;C0
Amaranthus caudatus;C0
Amaranthus cruentus;C0
Amaranthus deflexus;C0
Amaranthus hybridus hybridus;C2
Amaranthus hybridus quitensis;C0
Amaranthus hypochondriacus hypochondriacus;C0
Amaranthus hypochondriacus powellii;C2
Amaranthus palmeri;C0
Amaranthus retroflexus;C2
Amaranthus spinosus;C0
Amaranthus viridis;C0
Ambrosia artemisiifolia;C0
Ambrosia psilostachya;C2
Ambrosia trifida;C0
Ameiurus nebulosus;D2
Amelanchier alnifolia;E
Amelanchier lamarckii;D2
Amelanchier spicata;E
Ammi majus;C0
Ammi visnaga;C0
Amphiareus obscuriceps;B1
Amphibalanus improvisus;E
Amsinckia intermedia;C0
Amsinckia lycopsoides;C2
Amsinckia menziesii;E
Amsinckia tesselata;C0
Anacyclus clavatus;C2
Anaphalis margaritacea;E
Anas cyanoptera;C1
Anas erythrorhyncha;C1
Anas formosa;C1
Anas sibilatrix;C1
Anchusa arvensis orientalis;C0
Anchusa azurea;C3
Androniscus dentiger;D2
Androsace elongata;C3
Anemone apennina;C2
Anemone blanda;C3
Anemone canadensis;C3
Anemone coronaria;C0
Anemone scabiosa;C2
Anemone sylvestris;D2
Anethum graveolens;C0
Angiostrongylus vasorum;E
Anguillicoloides crassus;E
Anisantha diandra;C0
Anisantha madritensis;C2
Anisantha rigida;C0
Anoda cristata;C0
Anser cygnoides;C1
Anser indicus;C2
Anthemis cotula;D2
Anthemis ruthenica;D2
Anthoxanthum aristatum;C0
Anthrenus museorum;C2
Anthrenus olgae;C0
Anthriscus caucalis;C0
Anthriscus cerefolium;C2
Anthriscus fumarioides;C0
Anthriscus sylvestris;NA
Anthyllis lotoides;C0
Anthyllis vulneraria carpatica;D2
Antirrhinum majus;C2
Antithamnion nipponicum;E
