Name;known;low;best;high
Abies amabilis;4;20;40;60
Abies balsamea;64;256;512;768
Abies cephalonica;12;60;120;180
Abies concolor;100;500;1000;1500
Abies grandis;24;120;240;360
Abies koreana;12;24;60;96
Abies lasiocarpa;152;608;1216;1824
Abies magnifica;4;8;20;40
Abies mariesii;4;4;8;12
Abies nordmanniana;92;368;736;1104
Abies procera;96;384;768;1152
Abies sachalinensis;12;36;60;120
Abies sibirica;100;400;800;1200
Abies veitchii;4;8;20;32
Acartia tonsa;8;16;80;400
Acer campestre;152;304;456;608
Acer ginnala;208;416;624;1040
Acer negundo;8;8;16;32
Acer pseudoplatanus;8000;16000;32000;48000
Acer tataricum;28;28;56;84
Achillea nobilis;20;20;40;60
Aconogonon alpinum;40;40;80;120
Aconogonon divaricatum;20;40;100;160
Aconogonon × fennicum;80;160;240;480
Aconogonon weyrichii;28;56;140;224
Acrotona parens;20;2000;20000;200000
Acrotona pseudotenera;16;3200;8000;16000
Acrotrichis cognata;80;40000;800;120000
Acrotrichis henrici;4;80;200;400
Acrotrichis insularis;188;9400;18800;37600
Actinidia arguta;4;NA;4;8
Actinidia kolomikta;4;NA;4;8
Aesculus hippocastanum;900;2700;4500;6300
Agaricus bisporus;40;80;400;800
Agaricus bitorquis;28;56;140;560
Agaricus subperonatus;15;75;150;225
Agaricus xanthodermus;80;160;400;800
Agastache rugosa;8;NA;8;24
Agastache urticifolia;12;12;24;36
Aglaothamnion halliae;4000;4000;20000;40000
Agrostemma githago;4;4;12;20
Ajuga genevensis;4;8;12;16
Alcea rosea;8;NA;16;32
Alchemilla heptagona;12;12;24;36
Alchemilla mollis;300;1800;3000;4500
Alchemilla sarmatica;8;40;80;120
Alchemilla semilunaris;8;8;16;24
Alchemilla speciosa;8;16;32;48
Allium angulosum;4;4;8;12
Allium carinatum;4;4;8;12
Allium × hollandicum;20;40;80;120
Allium rotundum;4;4;4;8
Allium victorialis;72;144;360;576
Alnus alnobetula;32;64;160;320
Alphitophagus bifasciatus;20;20;1000;20
Alyssum alyssoides;60;120;240;360
Amaranthus hypochondriacus powellii;4;4;8;16
Amaranthus retroflexus;16;32;80;128
Ameiurus nebulosus;40;40;80;120
Amelanchier alnifolia;64;128;320;512
Amelanchier lamarckii;132;396;792;1188
Amelanchier spicata;1896;5688;9480;15168
Amphibalanus improvisus;328;328;4920;13120
Amsinckia menziesii;60;120;240;360
Anaphalis margaritacea;328;984;1640;2624
Anchusa azurea;8;16;32;48
Androsace elongata;4;4;4;8
Anemone apennina;4;4;12;20
Anemone blanda;20;40;80;120
Anemone canadensis;12;24;48;72
Anemone scabiosa;4;4;8;12
Anemone sylvestris;56;112;224;336
Angiostrongylus vasorum;8;64;2400;4800
Anguillicoloides crassus;20;400;1600;3500
Anser indicus;4;4;4;8
Anthemis cotula;64;NA;128;256
Anthemis ruthenica;4;NA;4;8
Anthyllis vulneraria carpatica;120;360;600;1200
Antithamnion nipponicum;16;48;160;320
Aphanes arvensis;4;4;8;16
Aphanomyces astaci;NA;NA;NA;NA
Aphrastasia pectinatae;40;40;80;120
Arabidopsis arenosa;3200;9600;16000;25600
Arabidopsis halleri;4;NA;4;8
Arabidopsis suecica;700;2100;3500;5600
Arabis caucasica;300;900;1500;3000
Aralia elata;4;4;8;16
Aralia racemosa;12;24;48;72
Arctium tomentosum;800;4000;8000;16000
Aremonia agrimonioides;4;NA;4;12
Argyresthia fundella;44;88;220;880
Argyresthia trifasciata;48;96;240;960
Arion rufus;4;2;4;40
Arion vulgaris;1692;1692;16920;33840
Aristolochia clematitis;8;8;16;24
Armoracia rusticana;1040;3120;5200;8320
Arnica mollis;4;4;4;8
Aronia melanocarpa;16;80;160;240
Aronia × prunifolia;140;700;1400;2100
Artemisia abrotanum;8;16;24;32
Artemisia pontica;4;4;4;8
Artemisia sieversiana;4;4;4;8
Artemisia stelleriana;4;NA;4;8
Arum maculatum;12;12;24;36
Aruncus dioicus;2160;6480;10800;17280
Asarum canadense;4;4;4;8
Aster alpinus;8;16;40;64
Aster amellus;8;16;32;48
Astilbe × arendsii;72;144;360;720
Astilbe japonica;12;24;60;96
Astrantia major;160;320;800;1280
Atomaria lewisi;176;88000;176000;880000
Atractotomus parvulus;12;120;240;360
Atriplex hortensis;4;12;20;32
Atropa belladonna;4;4;8;12
Auricularia auricula-judae;88;264;440;880
Aurinia saxatilis;52;104;208;312
Baeocrara japonica;12;240;1200;2400
Ballota nigra nigra;8;8;16;24
Bambara contorta;8;240;400;800
Barbarea vulgaris;11760;23520;35280;47040
Beckmannia syzigachne;8;24;40;80
Berberis aggregata;16;32;80;128
Berberis darwinii;4;20;40;60
Berberis thunbergii;1696;3392;8480;13568
Bergenia cordifolia;268;536;1072;1608
Bergenia crassifolia;172;516;860;1376
Berteroa incana;2000;3000;4000;6000
Betonica macrantha;300;600;900;1500
Betonica officinalis;20;30;40;60
Bisnius parcus;12;6000;12000;18000
Bistorta affinis;16;32;64;96
Bistorta officinalis;300;600;900;1500
Bithynia tentaculata;8;8;16;24
Blumeriella jaapii;500;750;1000;1250
Boettgerilla pallens;76;760;3800;7600
Bohemiellina flavipennis;4;2000;4000;8000
Boletellus projectellus;4;4;8;20
Bonnemaisonia hamifera;780;3900;7800;15600
Botrylloides violaceus;120;120;240;720
Branta canadensis;24000;24000;48000;48000
Brassica elongata;4;4;8;16
Braula coeca;4;16;200;400
Bromopsis erecta;24;48;72;120
Bromopsis inermis;3304;4956;9912;13216
Bromopsis pubescens;8;8;16;24
Brunnera macrophylla;52;104;156;260
Bryonia alba;400;800;1200;2000
Buddleja davidii;16;48;80;160
Bunias orientalis;2644;7932;13220;26440
Caenoscelis subdeplanata;100;1000;10000;100000
Calendula arvensis;4;NA;8;16
Calyptomerus dubius;4;40;200;800
Calystegia pulchra;92;460;920;1380
Calystegia sepium spectabilis;300;900;1800;3000
Camelina microcarpa;4;NA;4;12
Camelostrongylus mentulatus;24;24;48;240
Cameraria ohridella;32;32;32;32
Campanula carpatica;8;24;40;64
Campanula glomerata glomerata;52;78;104;130
Campanula glomerata 'Superba';1600;4800;8000;12800
Campanula latifolia macrantha;68;204;340;544
Campanula patula;700;1400;3500;5600
Campanula rapunculoides;3888;7776;15552;23328
Campylopus introflexus;200;400;600;1200
Cantharis cryptica;12;60;120;600
