ID;Name;Category;Area;Length;Species;Impact;Regional
001-150-R;Elvestrekning mellom Ara og Aspern;River;NA;0.79;Aphanomyces astaci;SE;FALSE
001-152-R;Strømsfoss - elvestrekning mellom Øymarksjøen og Aremarksjøen;River;NA;2.63;Pacifastacus leniusculus;SE;FALSE
001-152-R;Strømsfoss - elvestrekning mellom Øymarksjøen og Aremarksjøen;River;NA;2.63;Aphanomyces astaci;SE;FALSE
001-153-R;Ørjeelva;River;NA;1.77;Pacifastacus leniusculus;SE;FALSE
001-153-R;Ørjeelva;River;NA;1.77;Aphanomyces astaci;SE;FALSE
001-281-R;Stenselva nedstrøms Brekke dam;River;NA;0.2;Aphanomyces astaci;SE;FALSE
001-282-R;Stenselva;River;NA;4.97;Aphanomyces astaci;SE;FALSE
001-316-L;Femsjøen;Lake;10.726;NA;Aphanomyces astaci;SE;FALSE
001-318-L;Aspern;Lake;7.099;NA;Aphanomyces astaci;SE;FALSE
001-320-L;Ara/Aremarksjøen;Lake;7.464;NA;Aphanomyces astaci;SE;FALSE
001-323-L;Rødenessjøen;Lake;15.976;NA;Pacifastacus leniusculus;SE;FALSE
001-323-L;Rødenessjøen;Lake;15.976;NA;Aphanomyces astaci;SE;FALSE
001-4983-L;Øymarksjøen;Lake;14.158;NA;Pacifastacus leniusculus;SE;FALSE
001-4983-L;Øymarksjøen;Lake;14.158;NA;Aphanomyces astaci;SE;FALSE
002-1029-R;Fjellelva;River;NA;4.3;Esox lucius;SE;TRUE
002-1051-R;Finna øvre deler;River;NA;15.34;Phoxinus phoxinus;SE;TRUE
002-1058-R;Grønbekken;River;NA;2.47;Phoxinus phoxinus;SE;TRUE
002-105-R;Glomma Flisa - Kongsvinger;River;NA;61.07;Aphanomyces astaci;SE;FALSE
002-1060-R;Koltjernbekken;River;NA;4.94;Phoxinus phoxinus;SE;TRUE
002-1061-R;Tyria/Sjusjøen/Kroksjøen/Mellsjøen sidebekker;River;NA;NA;Phoxinus phoxinus;SE;TRUE
002-1062-R;Raudtjernsbekken;River;NA;2.2;Phoxinus phoxinus;SE;TRUE
002-1066-R;Nevla, tilløpsbekker østsiden;River;NA;26.74;Phoxinus phoxinus;SE;TRUE
